pathway,dimension,weight
fast,d2,-0.0033065842
fast,d2,-0.0012494349
fast,d2,0.0006877419
fast,d2,-0.00082677713
fast,d2,-0.0007467575
fast,d2,0.0019502536
fast,d2,-0.0013281619
fast,d2,-0.007126969
fast,d2,-0.005372992
fast,d2,-0.00040434714
fast,d2,0.0005533568
fast,d2,-0.02485124
fast,d2,0.0005821999
fast,d2,4.5496257e-05
fast,d2,0.00012231307
fast,d2,0.00066870154
fast,d2,0.00122471
fast,d2,0.0008675947
fast,d2,5.1828756e-05
fast,d2,0.0011147398
fast,d2,-0.00031386103
fast,d2,1.4452846e-05
fast,d2,-0.00029937483
fast,d2,0.00045084173
fast,d2,-0.0005044616
fast,d2,0.00028372652
fast,d2,0.00093861355
fast,d2,0.0002799661
fast,d2,-2.0645006e-05
fast,d2,0.005325245
fast,d2,-5.3345982e-05
fast,d2,0.00020354707
fast,d2,-0.0005148793
fast,d2,0.0027428514
fast,d2,0.00060132035
fast,d2,-0.0004296861
fast,d2,-6.8245135e-06
fast,d2,0.0017285272
fast,d2,-0.0028200115
fast,d2,-0.015131451
fast,d2,-0.0093138665
fast,d2,0.0011361656
fast,d2,0.00048746172
fast,d2,8.480818e-05
fast,d2,7.584905e-05
fast,d2,0.0017211698
fast,d2,0.00094140973
fast,d2,-0.0067938594
fast,d2,-0.0063242023
fast,d2,0.0006752326
fast,d2,0.00122014
fast,d2,-0.034246147
fast,d2,-0.0015462379
fast,d2,0.00038303967
fast,d2,3.5319128e-05
fast,d2,0.00027673296
fast,d2,-0.00051682704
fast,d2,-0.00041890392
fast,d2,-0.00026884276
fast,d2,-0.00017399315
fast,d2,3.96916e-05
fast,d2,0.00074906566
fast,d2,-0.0017555334
fast,d2,-0.0002762918
fast,d2,0.00072822615
fast,d2,-0.00021935282
fast,d2,5.731493e-05
fast,d2,-1.111842e-05
fast,d2,-0.0010627111
fast,d2,0.0064922525
fast,d2,0.0010428508
fast,d2,-3.5440113e-05
fast,d2,0.00030278668
fast,d2,0.0003312792
fast,d2,-0.0005022694
fast,d2,-0.0005739595
fast,d2,0.0005615886
fast,d2,-0.00032059796
fast,d2,0.00079308636
fast,d2,-0.014153119
fast,d2,-0.0056701913
fast,d2,0.000993249
fast,d2,0.00065231574
fast,d2,-5.3479744e-05
fast,d2,0.0006515517
fast,d2,0.0017258715
